TEXT,LANGUAGE
وہ اتنا بڑھا ہوا ہے کہ وہ چل نہیں سکتا۔,URDU
वह इतने बूढ़ा है कि वह चल नहीं सकता।,HINDI
అతను అంత పురాతనంగా ఉన్నాడు ఎందుకంటే అటువంటిపడుకొని చచ్చి వెళ్ళలేకపోతున్నాడు.,TELUGU
അവന്‍ അതിനാല്‍ നടക്കാന്‍ കഴിയാതെ പഴയകാലം ആയിരിക്കുന്നു.,MALAYALAM
"Take an umbrella, it is raining now.",ENGLISH
"ಒಂದು ಛಾಯಾಚಾಪಾ ತೆಗೆದುಕೊಳ್ಳಿ, ಈಗ ಮಳೆ ಬರುತ್ತಿದೆ.",KANNADA
"چھترا لے لو، اب بارش ہورہی ہے۔",URDU
"एक छाता लेलो, अभी बारिश हो रही है।",HINDI
"ఒక చావాడిని తీసుకోండి, ఇప్పుడే వర్షం పడుతుంది.",TELUGU
"ഒരു ഉമ്ബ്രല്ല എടുക്കുക, ഇപ്പോഴും മഴ പൊക്കുന്നു.",MALAYALAM
Give that pen to me,ENGLISH
ಆ ಪೆನ್ ನನಗೆ ಕೊಡಿ,KANNADA
اُس قلم کو مجھے دو,URDU
उस कलम को मुझे दो,HINDI
అంగుళాన్ని నాకు ఇవ్వండి,TELUGU
അത് പെൻ എനിക്ക് അനുഗ്രഹിക്കൂ,MALAYALAM
"Those who would like to join me in my venture, please come. Welcome!",ENGLISH
ನನ್ನ ಪ್ರಯಾಣದಲ್ಲಿ ಸೇರಲು ಇಚ್ಛಿಸುವವರು ದಯವಿಟ್ಟು ಬನ್ನಿ. ಸ್ವಾಗತ!,KANNADA
"جو لوگ میرے ساتھ آنا چاہتے ہیں، براہ کرم آئیں۔ خوش آمدید! ",URDU
"जो लोग मेरे साथ आना चाहते हैं, कृपया आइए। स्वागत है!",HINDI
"నా యాత్రలో సహాయపడాలని ఆసక్తి కలిగిన వారు, దయచేసి రాండి. స్వాగతం! ",TELUGU
"എന്റെ യാത്രയിൽ സഹായിക്കാൻ ഇഷ്ടപ്പെടുന്നവർ, ദയവായി വരുക. സ്വാഗതം! ",MALAYALAM
Please have a seat in the room for up to 10 people.,ENGLISH
"ಕೊಂಚೆಯಿಂದ ಹೊರಗೆ ಕೂಡಿಸಿಕೊಂಡು, 10 ಜನರಿಗೆ ಕೂಡಲೇ ಕೂಡಾ ಕೂಡಿಕೊಳ್ಳಿ.",KANNADA
مہم کریں اور 10 لوگوں کے لیے کمرے میں بیٹھیں بنائیں۔,URDU
कृपया कमरे में बैठने के लिए 10 लोगों को आमंत्रित करें।,HINDI
దయచేసి గడియారంలో ఉన్నంత 10 వారికి ఆసీస్తే బాగుంది.,TELUGU
10 പേർക്ക് കൂടിയാണ് കുടക്കാനായി കമ്പരത്തിൽ കുളിക്കുക.,MALAYALAM
கோபம் ,TAMIL
Anger,ENGLISH
ಕೋಪ ,KANNADA
غصہ ,URDU
गुस्सा ,HINDI
కోపం ,TELUGU
കോപം ,MALAYALAM
Pour the water in the utensil,ENGLISH
ಪಾತ್ರೆಗೆ ನೀರು ಹಾಕಿ,KANNADA
برتن میں پانی ڈالیں,URDU
बर्तन में पानी डालें,HINDI
పాత్రలో నీటిని పోయండి,TELUGU
പാത്രത്തിൽ വെള്ളം പൊടിക്കുക,MALAYALAM
Delhi is the capital of India.,ENGLISH
தில்லி இந்தியாவின் தலைநகர் ஆகும்,TAMIL
दिल्ली भारत की राजधानी है। ,HINDI
ദിൽഹി ഇന്ത്യയുടെ രാജധാനി ആണ്,MALAYALAM
 దిల్లీ భారతదేశంలో రాజధాని,TELUGU
دہلی بھارت کا دارالحکومت ہے,URDU
சென்னை தமிழ்நாடுக் குடியரசின் தலைநகராகும்,TAMIL
Chennai is the capital of the state of Tamil Nadu.,ENGLISH
चेन्नई तमिलनाडु की राजधानी है,HINDI
ചെന്നൈ തമിഴ് നാടുവിന്റെ രാജധാനിയാണ്,MALAYALAM
அவள் ஷாப்பில் போகிறார்,TAMIL
She is going to shop,ENGLISH
അവള്‍ ഷോപ്പിലേക്ക് പോകുന്നു ,MALAYALAM
ఆమె షాప్‌కు వెళ్ళిపోతుంది,TELUGU
وہ خریداری کرنے جا رہی ہے,URDU
वह खरीददारी के लिए जा रही है ,HINDI
सा व्यापारं गच्छति,SANSKRIT
எனக்கு தூங்க விரும்புகிறேன் ,TAMIL
I feel so sleepy.,ENGLISH
എനക്ക് നിദ്രാപൂരിതം ആയിരിക്കുന്നു ,MALAYALAM
నాకు నిద్ర రావడం ఉంది ,TELUGU
مجھے بہت خواب آ رہا ہے ,URDU
मुझे बहुत नींद आ रही है ,HINDI
मम अत्यन्त निद्रितोऽस्ति,SANSKRIT
ನನಗೆ ನಿದ್ರೆ ಬರುತ್ತಿದೆ,KANNADA
அவள் இட்லி சாப்பிடுகின்றார்,TAMIL
She is eating idli.,ENGLISH
ಅವಳು ಇಡ್ಲಿ ತಿನ್ನುತ್ತಿದ್ದಾಳೆ,KANNADA
అమ్మ ఇడ్లీ తిన్నారు,TELUGU
وہ اڈلی کھا رہی ہے,URDU
അവൾ ഇഡ്ലി കഴിക്കുന്നു,MALAYALAM
वह इडली खा रही है ,HINDI
सा इड्ली भुङ्क्ते,SANSKRIT
நாளை புத்தாண்டு,TAMIL
Tomorrow is a new year,ENGLISH
ನಾಳೆ ಹೊಸ ವರ್ಷ ಇದೆ,KANNADA
നാളെ പുതുവത്സരം,MALAYALAM
రేపు కొత్త సంవత్సరం,TELUGU
کل نیا سال ہے,URDU
कल नया साल है,HINDI
भविष्यं नववर्षः,SANSKRIT
அவள் என்னை மனதிலாக மன்னிக்கின்றார்,TAMIL
She is forgiving me,ENGLISH
ಅವಳು ನನಗೆ ಕ್ಷಮಿಸುತ್ತಿದ್ದಾಳೆ,KANNADA
അവൾ ഞാൻ ക്ഷമിക്കുന്നു,MALAYALAM
ఆమె నాకు క్షమిస్తుంది,TELUGU
وہ مجھے معاف کر رہی ہے,URDU
वह मुझे माफ कर रही है,HINDI
सा मां क्षमयति,SANSKRIT
அவன் வீடு மிகவும் அழகாக உள்ளது,TAMIL
என் சோகம் பல நாட்கள் ஆகிவிட்டது.,TAMIL
அந்த புதிய புகைப்படம் அருமையாக உள்ளது.,TAMIL
அந்த கதையை நான் உணர்ந்தேன்,TAMIL
அந்த பரிந்துரை என் மனதை அழுக்கின்றது,TAMIL
என் வீடு தமிழ்நாட்டில் உள்ளது. ,TAMIL
இந்த புதிய புத்தகம் அருகிலுள்ள கடையில் கிடைக்கும்,TAMIL
என் சோகத்தை நீ அரிதும் அறியவில்லை. ,TAMIL
இந்தியா ஒரு பல்வேறு நாடுகளின் கூடுதல் நாடுகளில் ஒன்று,TAMIL
நான் குழந்தையை காப்பாற்றுகிறேன்.,TAMIL
நான் உன்னை எப்போதும் நினைக்கிறேன்.,TAMIL
அவள் கண்ணை காண விரும்புகிறாள்,TAMIL
அந்த கட்டுரை பரிசுக்கு மிகவும் உடையது,TAMIL
நீ என்னை பிரிந்துவிட்டாய்,TAMIL
பழைய நாடுகளில் சமீபத்தில் போன நான் என் அந்தச் செல்வமையை காணவில்லை.,TAMIL
இந்திய நாடு அனைத்து கடற்கரைகளிலும் காணப்படுகிறது,TAMIL
அவனுக்கு பிடித்தது எனக்கு பிடித்தது,TAMIL
நீ என்னை பார்த்துக்கொண்டு பள்ளிக்கு போனாய். ,TAMIL
என் பரிசுகள் அனைத்தும் உள்ளன,TAMIL
என் உடைகள் எனக்கு பிடிக்கின்றன,TAMIL
என் வாழ்க்கையில் உள்ள அனைத்தும் எனக்கு அருமையாக இருக்கின்றது,TAMIL
இனிய புத்தாண்டு வாழ்த்துக்கள்,TAMIL
Happy New Year,ENGLISH
"""नया साल मुबारक हो",HINDI
ಹೊಸ ವರ್ಷದ ಶುಭಾಶಯಗಳು,KANNADA
నూతన సంవత్సర శుభాకాంక్షలు,TELUGU
نیا سال مبارک ہو,URDU
नववर्षस्य शुभाशयाः,SANSKRIT
പുതുവത്സരാശംസകൾ,MALAYALAM
"No, you are not a joke to me.",ENGLISH
"नहीं, तुम मेरे लिए मजाक नहीं हो.",HINDI
"ಇಲ್ಲ, ನೀವು ನನಗೆ ಹೊಸಬುಟ್ಟಿದ್ದಲ್ಲ.",KANNADA
"కాదు, నేను మీకు అపహాస్యం చేయను.",TELUGU
"نہیں، آپ میرے لئے مذاق نہیں ہیں.",URDU
"न, त्वं मम मुग्धः न भवसि.",SANSKRIT
"അല്ല, നിനക്ക് എനിക്ക് ഹാസ്യമല്ല.",MALAYALAM
நான் என் குடும்பத்தை விரும்புகிறேன்,TAMIL
என் அருகிலுள்ள பூங்காற்றில் சுகமாக இருக்கிறேன்,TAMIL
பதினெட்டு வயதில் நான் ஒரு கவிஞனாக இருக்கிறேன்,TAMIL
என் உயிரோடு போராடுகிறேன்,TAMIL
Patience is a virtue that leads to better decision-making.,ENGLISH
Cooking can be a therapeutic and enjoyable activity.,ENGLISH
The world is full of opportunities waiting to be explored.,ENGLISH
Kindness can make a significant impact on someone's day.,ENGLISH
The sound of rain is soothing and calming.,ENGLISH
Reading a good book is a great way to relax.,ENGLISH
Success comes to those who work hard and persevere.,ENGLISH
Traveling opens your mind to different cultures.,ENGLISH
Laughter is the best medicine for a bad day.,ENGLISH
She is a talented artist who creates beautiful paintings.,ENGLISH
Learning new things is always exciting.,ENGLISH
The sun rises in the east and sets in the west.,ENGLISH
I love spending time with my family.,ENGLISH
நான் என் குழந்தைகளுக்கு அழகாக வாழ விரும்புகிறேன்,TAMIL
எனக்கு புதிய செய்தியை அறிந்துகொள்ள விரும்புகிறேன்,TAMIL
நான் என் வாழ்க்கையை மேம்படுத்த விரும்புகிறேன்,TAMIL
என் குழந்தைகளுக்கு நல்ல கல்வி வழங்க விரும்புகிறேன்,TAMIL
எனக்கு எதிர்காலத்தில் அறிந்துகொள்ள விரும்புகிறேன்,TAMIL
என் பள்ளியில் நான் மிகவும் சந்தோஷமாக உள்ளேன்,TAMIL
నాకు పుస్తకాలు చదివడం ఇష్టం.,TELUGU
సూర్యోదయం అద్భుతంగా ఉంటుంది.,TELUGU
కొన్ని నూరు వాక్యాలు ఉన్నాయి.,TELUGU
నవ్వు హాస్యం కలిగిపోతుంది.,TELUGU
కొత్త భాష నేర్చుకుందంటూ సాధించడం కష్టం.,TELUGU
పని చేయడం మరియు సాధించడం కష్టంగా ఉంది.,TELUGU
ఆకాశం మీరాక బాగుంది.,TELUGU
వర్తనంలో ప్రగతి కలిగిపోతుంది.,TELUGU
హామీల్స్‌ మీకు నివేదిస్తున్నారు.,TELUGU
మరింత మరింత అవసరాలు ఉన్నాయి.,TELUGU
బ్యూటిఫుల్ సన్సెట్ మా అక్కడ చూసినది.,TELUGU
ఒక కొంచెం చక్కని అనుభవం ఉంది.,TELUGU
వార్తాపత్రికలు పరిశోధన చేస్తున్నాయి.,TELUGU
ప్రేమకు ఒక సూక్ష్మ అర్థం ఉంది.,TELUGU
సౌందర్యం మీకు ఉన్నాదా?,TELUGU
"గమనించండి, నాకు ఒక సందేశం ఉంది.",TELUGU
ప్రతిరోజు ఎక్కువ పనులు ఉండాలి.,TELUGU
మనసు ఏకాగ్రమైనప్పుడు ప్రతియొక్కరికి చేరుకోవచ్చు.,TELUGU
నీతిని కాయమైన ఆధారంగా ఉంచండి.,TELUGU
చూసిన సరదాగా ఉంది.,TELUGU
కథనం కష్టమైన అంశంగా ఉంది.,TELUGU
మరియున్ని ఉదాహరణలు ఇవే.,TELUGU
నాకు మీ సహాయం కావాలి.,TELUGU
"ఆనందంగా ఉన్నాను అనిపించదగినా, నా జీవనం అలాగే ఉండవచ్చు.",TELUGU
మీరు ఎలా ఉంటున్నారు?,TELUGU
మీకు ఎంత సమయం పడిపోతుంది?,TELUGU
ప్రతి ఒక్కరి జీవితంలో ఒక గొప్ప ముఖ్యమైన అంశం ఉంది.,TELUGU
విద్యార్థిగా నాకు చదవటం ఇష్టం.,TELUGU
ప్రతి రోజు వ్యాయామం చేస్తే ఆరోగ్యం మెరుగుపడతారు.,TELUGU
నేను ఆధునిక సాంస్కృతిక చరిత్రను అభ్యస్తంగా ఉండాలి.,TELUGU
వీటిని పరీక్షించడం కష్టం ఉండదు.,TELUGU
నీతి ఒక దేశానికి ఆధారంగా ఉండాలి.,TELUGU
"అర్థం అవసరంగా ఉండాలి, కానీ మాతృభాషను కాయమైనంత ఉపయోగించాలి.",TELUGU
నేను ప్రతిసారి పరీక్షాలను ఆక్రమించినప్పుడు అనుకుంటాను.,TELUGU
అతని అవగాహన మీకు ఇవ్వాలి.,TELUGU
సౌందర్యం సదా దృష్టిలో ఉండాలి.,TELUGU
ప్రేమికులతో ఆత్మిక సంబంధాలు మెరుగుపడాలి.,TELUGU
మనసును ఆరామగా ఉంచుకోవడం అంతరాళాన్ని మెరుగుపరచడం.,TELUGU
ఆరోగ్యం మానవ జీవితంలో అత్యంత ముఖ్యమైన అంశం.,TELUGU
"నాకు సాహసం లేదు, కానీ నాకు ఆత్మవిశ్వాసం ఉంది.",TELUGU
మీరు ఎలాంటి కలిగేదిని ప్రతి రోజు చూస్తున్నారా?,TELUGU
మీరు ఎక్కువ సమయం ఎక్కువ పనులకు ఉపయోగిస్తున్నారా?,TELUGU
మీరు ఇప్పటివరకు ఏమి చేస్తున్నారు?,TELUGU
నాకు మీరు ఎంత కాలం పని చేస్తున్నారు అంటే చాలా ఆనందం.,TELUGU
మీరు ఇంకా ఏమి నరకం చేస్తున్నారు?,TELUGU
మీరు ఎక్కువ పరీక్షలను ఎంచుకున్నారా?,TELUGU
మీరు ఇప్పటివరకు ఏమి కలిగిపోయారు?,TELUGU
మీరు ఇంకా ఏమి చేస్తున్నారు?,TELUGU
నాకు మీరు ఎంత సమయం పని చ,TELUGU
Music has the power to evoke strong emotions.,ENGLISH
Helping others brings a sense of fulfillment and joy.,ENGLISH
"Every cloud has a silver lining, even in difficult times.",ENGLISH
A smile can brighten someone's day.,ENGLISH
Setting goals is the first step towards achieving them.,ENGLISH
Nature has a way of rejuvenating the mind and soul.,ENGLISH
Learning from mistakes is crucial for personal growth,ENGLISH
Friendship is a treasure that should be valued.,ENGLISH
Time management is key to a productive and balanced life.,ENGLISH
Honesty is the foundation of trust in any relationship.,ENGLISH
Challenges make life interesting and fulfilling.,ENGLISH
Meditation helps in achieving inner peace and tranquility.,ENGLISH
Positive thoughts lead to positive outcomes.,ENGLISH
The best way to predict the future is to create it.,ENGLISH
Gratitude can turn ordinary days into extraordinary ones.,ENGLISH
Teamwork makes the dream work.,ENGLISH
A healthy diet is essential for overall well-being.,ENGLISH
Curiosity fuels the desire to learn and explore.,ENGLISH
Worrying about the past or future takes away from the present.,ENGLISH
Family is not just an important thing; it's everything.,ENGLISH
"Success is a journey, not a destination.",ENGLISH
Change is the only constant in life.,ENGLISH
A positive attitude can overcome any obstacle.,ENGLISH
Creativity is intelligence having fun.,ENGLISH
Learning a new language opens doors to new perspectives.,ENGLISH
Challenges are opportunities in disguise.,ENGLISH
A grateful heart attracts more blessings.,ENGLISH
Dreams don't work unless you do.,ENGLISH
Every day is a chance to make a difference.,ENGLISH
Life is too short to hold grudges.,ENGLISH
Embracing diversity makes the world richer.,ENGLISH
A good laugh and a long sleep are the two best cures.,ENGLISH
"Success is not final, failure is not fatal: It is the courage to continue that counts.",ENGLISH
"Respect is earned, not given.",ENGLISH
Travel is the only thing you can buy that makes you richer.,ENGLISH
Your attitude determines your direction in life.,ENGLISH
Kind words cost nothing but can mean everything.,ENGLISH
The best way to predict your future is to create it.,ENGLISH
Every accomplishment starts with the decision to try.,ENGLISH
Life is what happens when you're busy making other plans.,ENGLISH
"Believe you can, and you're halfway there.",ENGLISH
The only limit to our realization of tomorrow will be our doubts of today.,ENGLISH
Actions speak louder than words.,ENGLISH
Be the change that you wish to see in the world.,ENGLISH
"Love for all, hatred for none.",ENGLISH
Life is short; smile while you still have teeth.,ENGLISH
The best is yet to come.,ENGLISH
"Happiness is a choice, not a result.",ENGLISH
You are never too old to set another goal or to dream a new dream.,ENGLISH
Be yourself; everyone else is already taken.,ENGLISH
"The more you give, the more you receive.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The only way to do great work is to love what you do.,ENGLISH
Success is stumbling from failure to failure with no loss of enthusiasm.,ENGLISH
Life is either a daring adventure or nothing at all.,ENGLISH
You never know how strong you are until being strong is your only choice.,ENGLISH
The purpose of our lives is to be happy.,ENGLISH
"In three words, I can sum up everything I've learned about life: It goes on.",ENGLISH
Be the kind of person your dog thinks you are.,ENGLISH
"Life is really simple, but we insist on making it complicated.",ENGLISH
It always seems impossible until it's done.,ENGLISH
Success usually comes to those who are too busy to be looking for it.,ENGLISH
Don't watch the clock; do what it does. Keep going.,ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The best revenge is massive success.,ENGLISH
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The best way to predict your future is to create it.,ENGLISH
Don't cry because it's over; smile because it happened.,ENGLISH
"You only live once, but if you do it right, once is enough.",ENGLISH
Life is what happens when you're busy making other plans.,ENGLISH
To live is the rarest thing in the world. Most people exist; that is all.,ENGLISH
Life is too important to be taken seriously.,ENGLISH
"Life is really simple, but we insist on making it complicated.",ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The purpose of our lives is to be happy.,ENGLISH
"Life is really simple, but we insist on making it complicated.",ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The best revenge is massive success.,ENGLISH
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The best way to predict your future is to create it.,ENGLISH
Don't cry because it's over; smile because it happened.,ENGLISH
"to preserve these features, save in an Excel file format",ENGLISH
I hope you find these sentences interesting and diverse!,ENGLISH
I enjoy reading books in my free time.,ENGLISH
The sun sets beautifully over the horizon.,ENGLISH
She is a talented singer with a mesmerizing voice.,ENGLISH
We are planning a family vacation to the mountains.,ENGLISH
Learning a new language can be a rewarding experience.,ENGLISH
some features might be lost,ENGLISH
आत्मनं विद्धि ,SANSKRIT
सत्यमेव जयते,SANSKRIT
अहिंसा परमो धर्मः ,SANSKRIT
योगः कर्मसु कौशलम् ,SANSKRIT
विद्या ददाति विनयम्,SANSKRIT
श्रद्धावान् लभते ज्ञानम् ,SANSKRIT
सर्वे भद्राणि पश्यन्तु मा कश्चिद् दुःखभाग्भवेत् ,SANSKRIT
स्वस्ति अस्तु,SANSKRIT
सर्वे भवन्तु सुखिनः ,SANSKRIT
वसुधैव कुटुम्बकम् ,SANSKRIT
आपदामपहर्तारम् ,SANSKRIT
देवी भगवती हरि हरा के पुरुषे हुं फट् स्वाहा ,SANSKRIT
यथा राजा तथा प्रजा ,SANSKRIT
असतोमा सद्गमय ,SANSKRIT
सत्यं वद ,SANSKRIT
सहनाववतु,SANSKRIT
कर्मण्येवाधिकारस्ते मा फलेषु कदाचन ,SANSKRIT
शान्तिः शान्तिः शान्तिः,SANSKRIT
आप नीति: प्रतिहत्य न स्यात् ,SANSKRIT
वाक्यं सत्यं प्रयुञ्जीत ,SANSKRIT
सर्वत्र समदर्शिन: ,SANSKRIT
अहिंसा परमो धर्मः ,SANSKRIT
योगः कर्मसु कौशलम् ,SANSKRIT
तमसो मा ज्योतिर्गमय ,SANSKRIT
स्वस्तिप्रजाभ्यः परिपालयन्ताम्,SANSKRIT
सर्वे जनाः सुखिनो भवन्तु ,SANSKRIT
वसुधैव कुटुम्बकम् ,SANSKRIT
आत्मनो मोक्षार्थम् जगद्धिताय च,SANSKRIT
"योऽसौ ब्रह्मा, योऽसौ विष्णुः, योऽसौ रुद्रः, योऽसौ इन्द्रः",SANSKRIT
आनन्दोऽहं ब्रह्मास्मीति वेदान्तवाक्ये भावः ,SANSKRIT
"उत्तिष्ठते, जाग्रते, प्राप्य वरान्निबोधत ",SANSKRIT
मृत्योर्मामृतं गमय ,SANSKRIT
सत्यस्य सत्यं नास्ति,SANSKRIT
असतोमा सद्गमय ,SANSKRIT
एकं सद्विप्रा बहुधा वदन्ति ,SANSKRIT
तत्त्वमसि ,SANSKRIT
अहम् ब्रह्मास्मि,SANSKRIT
सर्वं खल्विदं ब्रह्म,SANSKRIT
अयं आत्मा ब्रह्म ,SANSKRIT
सत्यं ज्ञानमनन्तं ब्रह्म ,SANSKRIT
तत्त्वमसि ,SANSKRIT
प्रज्ञानं ब्रह्म ,SANSKRIT
अहम् ब्रह्मास्मि ,SANSKRIT
सोऽहम् ,SANSKRIT
सर्वं खल्विदं ब्रह्म ,SANSKRIT
अयं आत्मा ब्रह्म,SANSKRIT
"सत्यं वद, धर्मं चर",SANSKRIT
अहिंसा परमो धर्मः ,SANSKRIT
योगः कर्मसु कौशलम्,SANSKRIT
The birds chirped merrily in the early morning sunlight.,ENGLISH
My favorite hobby is painting landscapes with vibrant colors.,ENGLISH
"He diligently worked on his project, determined to excel.",ENGLISH
The aroma of freshly baked cookies filled the kitchen.,ENGLISH
They explored the ancient ruins with awe and curiosity.,ENGLISH
She eloquently expressed her thoughts in the heartfelt letter.,ENGLISH
A gentle breeze rustled the leaves on the trees.,ENGLISH
The adventurous cat climbed to the top of the tall tree.,ENGLISH
I cherish the memories of our unforgettable road trip.,ENGLISH
The scientist made a groundbreaking discovery in the field of genetics,ENGLISH
The golden sunset painted the sky in warm hues.,ENGLISH
Reading a good book is like embarking on a literary journey.,ENGLISH
"Laughter echoed through the room, creating a joyful atmosphere.",ENGLISH
The diligent student meticulously prepared for the upcoming exam.,ENGLISH
The aroma of freshly brewed coffee wafted through the air.,ENGLISH
The athlete displayed incredible agility and skill on the field.,ENGLISH
"Serene waves gently lapped against the sandy shore, creating a peaceful ambiance.",ENGLISH
I enjoy reading books in my free time.,ENGLISH
The sun sets beautifully over the horizon.,ENGLISH
Learning a new language can be challenging but rewarding.,ENGLISH
Laughter is contagious and brightens up any day.,ENGLISH
Exploring new cultures broadens your perspective on life.,ENGLISH
Hard work and determination are keys to success.,ENGLISH
A cup of tea and a good book make for a perfect evening.,ENGLISH
The sound of rain tapping on the window is soothing.,ENGLISH
Kindness is a language everyone understands.,ENGLISH
Setting goals gives life a sense of direction.,ENGLISH
Cooking is both an art and a therapeutic activity.,ENGLISH
Patience is a virtue that leads to great achievements.,ENGLISH
Regular exercise is crucial for maintaining good health.,ENGLISH
Music has the power to evoke a wide range of emotions.,ENGLISH
Helping others is a noble and fulfilling endeavor.,ENGLISH
"Every cloud has a silver lining, even in tough times.",ENGLISH
A smile can brighten someone's day and yours too.,ENGLISH
Positive thoughts lead to positive actions.,ENGLISH
Teamwork makes the dream work.,ENGLISH
A healthy diet is essential for overall well-being.,ENGLISH
Curiosity fuels the desire to learn and grow.,ENGLISH
Worrying about the past or future takes away from the present.,ENGLISH
Family is not just an important thing; it's everything.,ENGLISH
"Success is a journey, not a destination.",ENGLISH
Change is the only constant in life.,ENGLISH
A positive attitude can overcome any obstacle.,ENGLISH
Creativity is intelligence having fun.,ENGLISH
Learning a new skill opens up new opportunities.,ENGLISH
Challenges are opportunities for growth.,ENGLISH
Gratitude can transform ordinary days into extraordinary ones.,ENGLISH
Time spent with loved ones is time well spent.,ENGLISH
"Respect is earned, not given.",ENGLISH
Traveling broadens the mind and enriches the soul.,ENGLISH
Your attitude determines your altitude.,ENGLISH
Kind words cost nothing but can mean everything.,ENGLISH
Dreams don't work unless you do.,ENGLISH
Every day is a chance to make a positive impact.,ENGLISH
Life is too short to hold onto grudges.,ENGLISH
Embracing diversity makes the world a better place.,ENGLISH
A good laugh and a good sleep are two remedies for anything.,ENGLISH
Success is not final; failure is not fatal: It's the courage to continue that counts.,ENGLISH
Respect is the cornerstone of any healthy relationship.,ENGLISH
Travel is the only thing you can buy that makes you richer.,ENGLISH
Your actions speak louder than your words.,ENGLISH
Be the change you wish to see in the world.,ENGLISH
"Love for all, hatred for none.",ENGLISH
Life is short; smile while you still have teeth.,ENGLISH
The best is yet to come.,ENGLISH
"Happiness is a choice, not a result.",ENGLISH
You're never too old to set another goal or to dream a new dream.,ENGLISH
Be yourself; everyone else is already taken.,ENGLISH
"The more you give, the more you receive.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The only way to do great work is to love what you do.,ENGLISH
Success is stumbling from failure to failure with no loss of enthusiasm.,ENGLISH
Life is either a daring adventure or nothing at all.,ENGLISH
You never know how strong you are until being strong is your only choice.,ENGLISH
The purpose of our lives is to be happy.,ENGLISH
"In three words, I can sum up everything I've learned about life: It goes on.",ENGLISH
Life is too important to be taken seriously.,ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The best revenge is massive success.,ENGLISH
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The best way to predict your future is to create it.,ENGLISH
Don't cry because it's over; smile because it happened.,ENGLISH
"You only live once, but if you do it right, once is enough.",ENGLISH
Life is what happens when you're busy making other plans.,ENGLISH
To live is the rarest thing in the world. Most people exist; that is all.,ENGLISH
Life is too important to be taken seriously.,ENGLISH
"Life is really simple, but we insist on making it complicated.",ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The best revenge is massive success.,ENGLISH
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The best way to predict your future is to create it.,ENGLISH
Don't cry because it's over; smile because it happened.,ENGLISH
"You only live once, but if you do it right, once is enough.",ENGLISH
Life is what happens when you're busy making other plans.,ENGLISH
To live is the rarest thing in the world. Most people exist; that is all.,ENGLISH
Life is too important to be taken seriously.,ENGLISH
"Life is really simple, but we insist on making it complicated.",ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The best revenge is massive success.,ENGLISH
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",ENGLISH
Life is 10% what happens to us and 90% how we react to it.,ENGLISH
The best way to predict your future is to create it.,ENGLISH
Don't cry because it's over; smile because it happened.,ENGLISH
"You only live once, but if you do it right, once is enough.",ENGLISH
Life is what happens when you're busy making other plans.,ENGLISH
To live is the rarest thing in the world. Most people exist; that is all.,ENGLISH
Life is too important to be taken seriously.,ENGLISH
"Life is really simple, but we insist on making it complicated.",ENGLISH
"Life is short, and it's up to you to make it sweet.",ENGLISH
Life is a journey that must be traveled no matter how bad the roads and accommodations.,ENGLISH
The best revenge is massive success.,ENGLISH
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",ENGLISH
ARE YOU ALRIGHT NOW,ENGLISH
smooth writing paper,ENGLISH
classify the following,ENGLISH
ignore the negativity,ENGLISH
ഞാൻ ഇന്ന് പൂട്ടി സ്വന്തം സേവനം ചെയ്യുന്നു.,MALAYALAM
എനിക്ക് എനിക്ക് എന്റെ അമ്മയെ സ്നേഹിക്കാൻ ആഗ്രഹമുണ്ട്. ,MALAYALAM
സൂര്യൻ പ്രഭ വർദ്ധിപ്പിക്കുന്നു.,MALAYALAM
അടിപൊളി ഒരു വനം സുന്ദരമാണ്. ,MALAYALAM
പുസ്തകം വായിക്കൽ ഞാൻ ആദ്യകാല പ്രിയമായിരുന്നു. ,MALAYALAM
